Energy (MeV),Range_SRIM_NIST (um),Range_Fitting (um),Residual (%)
1.000000E-04,1.500000E-03,1.418384E-03,-5.4410
1.500000E-04,2.200000E-03,2.196319E-03,-0.1673
2.000000E-04,3.000000E-03,3.004095E-03,0.1365
3.000000E-04,4.500000E-03,4.693372E-03,4.2972
5.000000E-04,8.000000E-03,8.309025E-03,3.8628
7.000000E-04,1.200000E-02,1.218083E-02,1.5069
1.000000E-03,1.800000E-02,1.838315E-02,2.1286
1.500000E-03,3.000000E-02,2.959452E-02,-1.3516
2.000000E-03,4.200000E-02,4.172717E-02,-0.6496
3.000000E-03,7.000000E-02,6.830083E-02,-2.4274
5.000000E-03,1.300000E-01,1.289712E-01,-0.7914
7.000000E-03,2.000000E-01,1.978596E-01,-1.0702
1.000000E-02,3.200000E-01,3.139633E-01,-1.8865
1.500000E-02,5.500000E-01,5.359549E-01,-2.5537
2.000000E-02,8.000000E-01,7.881309E-01,-1.4836
3.000000E-02,1.400000E+00,1.368475E+00,-2.2518
5.000000E-02,2.800000E+00,2.777941E+00,-0.7878
7.000000E-02,4.500000E+00,4.460170E+00,-0.8851
1.000000E-01,7.500000E+00,7.408601E+00,-1.2186
1.500000E-01,1.300000E+01,1.327290E+01,2.0992
2.000000E-01,2.000000E+01,2.014588E+01,0.7294
3.000000E-01,3.600000E+01,3.643517E+01,1.2088
5.000000E-01,7.500000E+01,7.735182E+01,3.1358
7.000000E-01,1.200000E+02,1.274210E+02,6.1841
1.000000E+00,2.000000E+02,2.168013E+02,8.4006
1.500000E+00,3.800000E+02,3.977047E+02,4.6591
2.000000E+00,5.800000E+02,6.125262E+02,5.6080
3.000000E+00,1.100000E+03,1.127734E+03,2.5213
5.000000E+00,2.500000E+03,2.438788E+03,-2.4485
7.000000E+00,4.200000E+03,4.058002E+03,-3.3809
1.000000E+01,7.500000E+03,6.967643E+03,-7.0981
1.500000E+01,1.400000E+04,1.289285E+04,-7.9082
2.000000E+01,2.200000E+04,1.996082E+04,-9.2690
3.000000E+01,4.200000E+04,3.698003E+04,-11.9523
5.000000E+01,8.500000E+04,8.047629E+04,-5.3220
7.000000E+01,1.400000E+05,1.343591E+05,-4.0292
1.000000E+02,2.400000E+05,2.313909E+05,-3.5871
1.500000E+02,4.200000E+05,4.293762E+05,2.2324
2.000000E+02,6.200000E+05,6.658862E+05,7.4010
3.000000E+02,1.100000E+06,1.236111E+06,12.3737
